arm,sigma,spp,seed,mean,centre
mits_analog,12.000,1024,7,1.000000,1.000000
mits_analog,12.000,4096,0,1.000000,1.000000
mits_analog,12.000,4096,1,1.000000,1.000000
mits_analog,12.000,4096,2,1.000000,1.000000
mits_analog,12.000,4096,3,1.000000,1.000000
mits_analog,12.000,4096,4,1.000000,1.000000
mits_analog,12.000,4096,5,1.000000,1.000000
mits_analog,12.000,4096,6,1.000000,1.000000
mits_analog,12.000,4096,7,1.000000,1.000000
ours,6.000,16384,0,1.000003,1.000046
ours,6.000,16384,1,1.000010,1.000063
ours,6.000,16384,2,1.000002,0.999914
ours,6.000,16384,3,1.000009,1.000041
mits_nee,6.000,16384,0,1.010625,1.097358
mits_nee,6.000,16384,1,1.010623,1.097318
mits_nee,6.000,16384,2,1.010628,1.097340
mits_nee,6.000,16384,3,1.010622,1.097260
mits_analog,6.000,16384,0,1.000000,1.000000
mits_analog,6.000,16384,1,1.000000,1.000000
mits_analog,6.000,16384,2,1.000000,1.000000
mits_analog,6.000,16384,3,1.000000,1.000000
